"","Bogota","Cali","Medellin","Barranquilla","Cartagena","Cucuta","Bucaramanga","Pereira","Santa Marta","Ibague","Pasto","Manizales","Neiva"
"Bogota",0,361581.61175,262778.013116667,584421.73425,614100.536483333,300962.490233333,243960.2897,263857.35725,523880.26705,167154.817416667,519973.61105,146020.38575,227956.4634
"Cali",356308.76335,0,330319.124666667,779869.412766667,783714.3819,567877.829016667,441305.672533333,144862.533783333,696436.640166667,175723.303866667,195010.28235,197031.6692,193858.740066667
"Medellin",261567.0696,330265.262666667,0,461405.742,456082.825066667,348812.04605,222239.889566667,184017.395483333,460772.9694,261416.598966667,505652.257416667,160740.893816667,354000.147583333
"Barranquilla",610328.465366667,786377.710683333,466507.3744,0,94694.4909166667,405979.408033333,381147.4108,670823.230616667,85034.1560166667,578462.5242,971257.828766667,647553.341833333,682322.909366667
"Cartagena",630460.614666667,786269.831633333,456010.43575,93352.2332166667,0,432283.432133333,407451.4349,624615.351566667,182580.142416667,602965.58555,964948.949716667,619945.199,706825.970716667
"Cucuta",299791.348983333,583643.5923,346571.53685,403562.0787,434594.209383333,0,123045.80985,526989.112233333,321533.040866667,419626.079283333,848623.974166667,410419.22345,508627.725266667
"Bucaramanga",242209.716083333,458433.169016667,222019.18605,377117.373466667,408151.223316667,124704.4389,0,404478.68895,295090.0548,287415.2956,726727.271166667,288524.5034,391275.680766667
"Pereira",259355.682683333,145048.561416667,184198.9043,664448.928616667,622526.011683333,510903.299733333,387032.598633333,0,642616.156016667,78668.5040333333,320428.943283333,53810.7563333333,201304.204016667
"Santa Marta",533359.391316667,697775.54395,461359.841816667,84013.73595,182518.0336,329010.333983333,304178.072966667,643821.063883333,0,561574.341533333,965455.925816667,527866.878333333,665434.7267
"Ibague",168280.526233333,181276.422433333,267398.2648,572295.470233333,601972.5533,391671.455666667,267801.01835,83453.8871,511752.54765,0,372956.8043,153310.380616667,126528.783783333
"Pasto",528817.17035,193042.9667,502727.531666667,961777.819766667,959421.525116667,829884.51685,706014.079533333,317270.940783333,961145.047166667,364431.710866667,0,369440.0762,231660.7069
"Manizales",145887.0272,196528.962216667,160915.52675,641165.81485,617842.897916667,381400.610916667,257529.909816667,53821.6538,526033.04225,147529.189333333,371909.0803,0,253862.906366667
"Neiva",228071.928333333,199476.108833333,355068.61385,676714.05415,706391.137216667,496091.75875,372219.602266667,206151.854333333,616171.131566667,125749.050716667,233419.221466667,259710.067016667,0
