Bogota,Cali,Medellin,Barranquilla,Cartagena,Cucuta,Bucaramanga,Pereira,Santa Marta,Ibague,Pasto,Manizales,Neiva
0,458.065,417.481,1031.865,980.257,568.282,397.766,316.705,978.599,201.485,779.919,292.735,315.252
447.213,0,436.69,1191.808,1139.332,959.483,761.826,209.751,1277.83,252.616,384.133,260.576,457.452
416.338,435.43,0,758.41,706.802,581.519,383.862,239.277,844.432,349.544,811.585,222.527,585.265
1084.736,1210.133,775.782,0,140.815,786.116,695.974,1013.981,105.143,1034.076,1586.288,997.23,1196.156
998.54,1136.174,705.185,135.909,0,712.414,622.272,940.022,225.585,963.479,1512.329,923.27,1125.559
567.707,1013.294,578.943,768.336,712.669,0,197.783,817.142,653.026,768.991,1389.45,800.391,882.758
397.295,815.983,382.719,678.754,623.087,198.492,0,619.831,563.444,546.168,1193.11,604.052,708.248
306.893,209.055,240.304,995.421,943.813,755.092,557.434,0,1081.443,112.296,585.211,53.34,317.133
986.627,1277.731,844.467,102.741,225.708,688.007,597.864,1081.579,0,1102.646,1653.887,1065.8,1264.726
201.412,261.148,359.844,1032.582,980.974,707.62,509.963,119.788,979.317,0,637.304,172.881,211.651
823.273,387.976,812.75,1567.868,1515.391,1335.543,1137.886,585.811,1653.89,628.676,0,636.636,466.732
292.816,258.579,223.365,978.483,926.875,705.515,507.857,53.264,1064.505,163.53,634.734,0,368.366
313.35,467.14,585.353,1199.737,1148.129,874.775,677.118,325.78,1146.472,210.559,467.194,378.873,0
